uid,authors,pub_year,pub_month,title,summary
27311388,"Haque U, Ball JD, Zhang W, Khan MM, Treviño C JA","2016","Oct","Clinical and spatial features of Zika virus in Mexico.","Haque U, Ball JD, Zhang W, Khan MM, Treviño C JA.Clinical and spatial features of Zika virus in Mexico. Acta Trop. 2016 Oct; 162:5-10." 
27311680,"Fréour T, Mirallié S, Hubert B, Splingart C, Barrière P, Maquart M, Leparc-Goffart I","2016","Jun","Sexual transmission of Zika virus in an entirely asymptomatic couple returning from a Zika epidemic area, France, April 2016.","Fréour T, Mirallié S, Hubert B, Splingart C, Barrière P, Maquart M, Leparc-Goffart I.Sexual transmission of Zika virus in an entirely asymptomatic couple returning from a Zika epidemic area, France, April 2016. Euro Surveill. 2016 Jun 9; 21(23)" 
27311776,"Zambon M","2016","Jun","Zika virus, the new kid on the block.","Zambon M.Zika virus, the new kid on the block. Euro Surveill. 2016 Jun 9; 21(23)" 
27312324,"Gao D, Lou Y, He D, Porco TC, Kuang Y, Chowell G, Ruan S","2016","Jun","Prevention and Control of Zika as a Mosquito-Borne and Sexually Transmitted Disease: A Mathematical Modeling Analysis.","Gao D, Lou Y, He D, Porco TC, Kuang Y, Chowell G, Ruan S.Prevention and Control of Zika as a Mosquito-Borne and Sexually Transmitted Disease: A Mathematical Modeling Analysis. Sci Rep. 2016 Jun 17; 6:28070." 
27313200,"Reusken C, Pas S, GeurtsvanKessel C, Mögling R, van Kampen J, Langerak T, Koopmans M, van der Eijk A, van Gorp E","2016","Jun","Longitudinal follow-up of Zika virus RNA in semen of a traveller returning from Barbados to the Netherlands with Zika virus disease, March 2016.","Reusken C, Pas S, GeurtsvanKessel C, Mögling R, van Kampen J, Langerak T, Koopmans M, van der Eijk A, van Gorp E.Longitudinal follow-up of Zika virus RNA in semen of a traveller returning from Barbados to the Netherlands with Zika virus disease, March 2016. Euro Surveill. 2016 Jun 9; 21(23)" 
27314996,"Perret C","2016","Apr","[Zika virus, guilty or innocent?].","Perret C.[Zika virus, guilty or innocent?]. Rev Chilena Infectol. 2016 Apr; 33(2):189-90." 
27315005,"Rios-González C, Escobar-Salinas J","2016","Apr","[Reflections on Zika infection in Paraguay].","Rios-González C, Escobar-Salinas J.[Reflections on Zika infection in Paraguay]. Rev Chilena Infectol. 2016 Apr; 33(2):240-1." 
27316349,"Werner H, Sodré D, Hygino C, Guedes B, Fazecas T, Nogueira R, Daltro P, Tonni G, Lopes J, Araujo Júnior E","2016","Aug","First-trimester intrauterine Zika virus infection and brain pathology: prenatal and postnatal neuroimaging findings.","Werner H, Sodré D, Hygino C, Guedes B, Fazecas T, Nogueira R, Daltro P, Tonni G, Lopes J, Araujo Júnior E.First-trimester intrauterine Zika virus infection and brain pathology: prenatal and postnatal neuroimaging findings. Prenat Diagn. 2016 Aug; 36(8):785-9." 
27316385,"","2016","Apr-Jun","Zika virus epidemics in Brazil: A broad view.","Zika virus epidemics in Brazil: A broad view. Curr Res Transl Med. 2016 Apr-Jun; 64(2):53." 
27316500,"Wiwanitkit V","2016","May-Jun","Heart rate and blood pressure in Zika virus infection: Findings?","Wiwanitkit V.Heart rate and blood pressure in Zika virus infection: Findings? Indian Heart J. 2016 May-Jun; 68(3):380." 
27317419,"McCarthy M","2016","Jun","Zika congenital syndrome is seen in infants whose mothers had asymptomatic infection.","McCarthy M.Zika congenital syndrome is seen in infants whose mothers had asymptomatic infection. BMJ. 2016 Jun 17; 353:i3416." 
27317512,"Nawas ZY, Tong Y, Kollipara R, Peranteau AJ, Woc-Colburn L, Yan AC, Lupi O, Tyring SK","2016","Jul","Emerging infectious diseases with cutaneous manifestations: Viral and bacterial infections.","Nawas ZY, Tong Y, Kollipara R, Peranteau AJ, Woc-Colburn L, Yan AC, Lupi O, Tyring SK.Emerging infectious diseases with cutaneous manifestations: Viral and bacterial infections. J Am Acad Dermatol. 2016 Jul; 75(1):1-16." 
27317825,"Clavagnier I","2016","Jun-Jul","Consequences of the Zika Outbreak in Brazil.","Clavagnier I.Consequences of the Zika Outbreak in Brazil. Rev Infirm. 2016 Jun-Jul; 222:41-2." 
27318417,"Martins KA, Dye JM, Bavari S","2016","Jul","Considerations for the development of Zika virus vaccines.","Martins KA, Dye JM, Bavari S.Considerations for the development of Zika virus vaccines. Vaccine. 2016 Jul 19; 34(33):3711-2." 
27318605,"Govindarajan M, Rajeswary M, Muthukumaran U, Hoti SL, Khater HF, Benelli G","2016","Aug","Single-step biosynthesis and characterization of silver nanoparticles using Zornia diphylla leaves: A potent eco-friendly tool against malaria and arbovirus vectors.","Govindarajan M, Rajeswary M, Muthukumaran U, Hoti SL, Khater HF, Benelli G.Single-step biosynthesis and characterization of silver nanoparticles using Zornia diphylla leaves: A potent eco-friendly tool against malaria and arbovirus vectors. J Photochem Photobiol B. 2016 Aug; 161:482-9." 
27319020,"","2016","Jun","Fact sheet on Zika virus disease (updated on 2 June 2016).","Fact sheet on Zika virus disease (updated on 2 June 2016). Wkly Epidemiol Rec. 2016 Jun 17; 91(24):314-6." 
27319025,"Interlandi J","2016","Jul","Insect Repellents in the Age of Zika. Our new tests identify what works and what doesn't against the bugs that can spread the virus and other serious diseases.","Interlandi J.Insect Repellents in the Age of Zika. Our new tests identify what works and what doesn't against the bugs that can spread the virus and other serious diseases. Consum Rep. 2016 Jul; 81(7):40-3." 
27321115,"Su S, Qiu X, Zhou J","2016","Sep","Spread of ZIKV and YFV to China: Potential implications.","Su S, Qiu X, Zhou J.Spread of ZIKV and YFV to China: Potential implications. J Infect. 2016 Sep; 73(3):289-91." 
27321961,"Zumla A, Dar O, Kock R, Muturi M, Ntoumi F, Kaleebu P, Eusebio M, Mfinanga S, Bates M, Mwaba P, Ansumana R, Khan M, Alagaili AN, Cotten M, Azhar EI, Maeurer M, Ippolito G, Petersen E","2016","Jun","Taking forward a 'One Health' approach for turning the tide against the Middle East respiratory syndrome coronavirus and other zoonotic pathogens with epidemic potential.","Zumla A, Dar O, Kock R, Muturi M, Ntoumi F, Kaleebu P, Eusebio M, Mfinanga S, Bates M, Mwaba P, Ansumana R, Khan M, Alagaili AN, Cotten M, Azhar EI, Maeurer M, Ippolito G, Petersen E.Taking forward a 'One Health' approach for turning the tide against the Middle East respiratory syndrome coronavirus and other zoonotic pathogens with epidemic potential. Int J Infect Dis. 2016 Jun; 47:5-9." 
27321962,"Zumla A, McCloskey B, Bin Saeed AA, Dar O, Al Otabi B, Perlmann S, Gautret P, Roy N, Blumberg L, Azhar EI, Barbeschi M, Memish Z, Petersen E","2016","Jun","What is the experience from previous mass gathering events? Lessons for Zika virus and the Olympics 2016.","Zumla A, McCloskey B, Bin Saeed AA, Dar O, Al Otabi B, Perlmann S, Gautret P, Roy N, Blumberg L, Azhar EI, Barbeschi M, Memish Z, Petersen E.What is the experience from previous mass gathering events? Lessons for Zika virus and the Olympics 2016. Int J Infect Dis. 2016 Jun; 47:1-4." 
27322491,"Hotez PJ","2016","Aug","What Does Zika Virus Mean for the Children of the Americas?","Hotez PJ.What Does Zika Virus Mean for the Children of the Americas? JAMA Pediatr. 2016 Aug 1; 170(8):787-9." 
27322537,"Camara DC, Codeço CT, Juliano SA, Lounibos LP, Riback TI, Pereira GR, Honorio NA","2016","","Seasonal Differences in Density But Similar Competitive Impact of Aedes albopictus (Skuse) on Aedes aegypti (L.) in Rio de Janeiro, Brazil.","Camara DC, Codeço CT, Juliano SA, Lounibos LP, Riback TI, Pereira GR, Honorio NA.Seasonal Differences in Density But Similar Competitive Impact of Aedes albopictus (Skuse) on Aedes aegypti (L.) in Rio de Janeiro, Brazil. PLoS One. 2016; 11(6):e0157120." 
27323483,"Schaller A, Moulin E, Cherpillod P, Kaiser L, De Vallière S, Boillat-Blanco N","2016","May","[Emerging arboviruses].","Schaller A, Moulin E, Cherpillod P, Kaiser L, De Vallière S, Boillat-Blanco N.[Emerging arboviruses]. Rev Med Suisse. 2016 May 4; 12(517):889-94." 
27323550,"Abbasi AU","2016","Jan-Mar","ZIKA VIRUS INFECTION; VERTICAL TRANSMISSION AND FOETAL CONGENITAL ANOMALIES.","Abbasi AU.ZIKA VIRUS INFECTION; VERTICAL TRANSMISSION AND FOETAL CONGENITAL ANOMALIES. J Ayub Med Coll Abbottabad. 2016 Jan-Mar; 28(1):1-2." 
27323600,"Shoaib M, Faraz A, Ahmed SA","2016","Jan-Mar","'ANOTHER VECTOR BORNE CHALLENGE TO COMBAT- ZIKA VIRUS OUTBREAKS'.","Shoaib M, Faraz A, Ahmed SA.'ANOTHER VECTOR BORNE CHALLENGE TO COMBAT- ZIKA VIRUS OUTBREAKS'. J Ayub Med Coll Abbottabad. 2016 Jan-Mar; 28(1):210-1." 
27323918,"Massad E, Coutinho FA, Wilder-Smith A","2016","Jul","Is Zika a substantial risk for visitors to the Rio de Janeiro Olympic Games?","Massad E, Coutinho FA, Wilder-Smith A.Is Zika a substantial risk for visitors to the Rio de Janeiro Olympic Games? Lancet. 2016 Jul 2; 388(10039):25." 
27324390,"Anderson MR, Kashanchi F, Jacobson S","2016","Jul","Exosomes in Viral Disease.","Anderson MR, Kashanchi F, Jacobson S.Exosomes in Viral Disease. Neurotherapeutics. 2016 Jul; 13(3):535-46." 
27326435,"","2016","","European Commission Horizon 2020 programme call for vaccine development research into malaria and neglected infectious diseases, including Zika virus.","European Commission Horizon 2020 programme call for vaccine development research into malaria and neglected infectious diseases, including Zika virus. Euro Surveill. 2016; 21(6):doi:10.2807/1560-7917.ES.2016.2." 
27326944,"Sam JI, Chan YF, Vythilingam I, Wan Sulaiman WY","2016","Apr","Zika virus and its potential re-emergence in Malaysia.","Sam JI, Chan YF, Vythilingam I, Wan Sulaiman WY.Zika virus and its potential re-emergence in Malaysia. Med J Malaysia. 2016 Apr; 71(2):66-8." 
27327000,"Niemeyer JE","2016","Jun","New models for Zika pathology.","Niemeyer JE.New models for Zika pathology. Lab Anim (NY). 2016 Jun 21; 45(7):243." 
27328974,"McCarthy M","2016","Jun","Thousands of pregnant women in Puerto Rico are at risk of Zika virus infection, CDC warns.","McCarthy M.Thousands of pregnant women in Puerto Rico are at risk of Zika virus infection, CDC warns. BMJ. 2016 Jun 21; 353:i3462." 
27329509,"Martinez-Palomo A","2016","Jun","Revisiting Zika (and Rubella).","Martinez-Palomo A.Revisiting Zika (and Rubella). J Public Health Policy. 2016 Jun 15; " 
27329551,"Barjas-Castro ML, Angerami RN, Cunha MS, Suzuki A, Nogueira JS, Rocco IM, Maeda AY, Vasami FG, Katz G, Boin IF, Stucchi RS, Resende MR, Esposito DL, de Souza RP, da Fonseca BA, Addas-Carvalho M","2016","Jul","Probable transfusion-transmitted Zika virus in Brazil.","Barjas-Castro ML, Angerami RN, Cunha MS, Suzuki A, Nogueira JS, Rocco IM, Maeda AY, Vasami FG, Katz G, Boin IF, Stucchi RS, Resende MR, Esposito DL, de Souza RP, da Fonseca BA, Addas-Carvalho M.Probable transfusion-transmitted Zika virus in Brazil. Transfusion. 2016 Jul; 56(7):1684-8." 
27330653,"Koenig KL, Almadhyan A, Burns MJ","2016","May","Identify-Isolate-Inform: A Tool for Initial Detection and Management of Zika Virus Patients in the Emergency Department.","Koenig KL, Almadhyan A, Burns MJ.Identify-Isolate-Inform: A Tool for Initial Detection and Management of Zika Virus Patients in the Emergency Department. West J Emerg Med. 2016 May; 17(3):238-44." 
27330849,"Rodrigues Faria N, Lourenço J, Marques de Cerqueira E, Maia de Lima M, Pybus O, Carlos Junior Alcantara L","2016","Feb","Epidemiology of Chikungunya Virus in Bahia, Brazil, 2014-2015.","Rodrigues Faria N, Lourenço J, Marques de Cerqueira E, Maia de Lima M, Pybus O, Carlos Junior Alcantara L.Epidemiology of Chikungunya Virus in Bahia, Brazil, 2014-2015. PLoS Curr. 2016 Feb 1; 8" 
27331627,"Meltzer E, Lustig Y, Leshem E, Levy R, Gottesman G, Weissmann R, Rabi DH, Hindiyeh M, Koren R, Mendelson E, Schwartz E","2016","Aug","Zika Virus Disease in Traveler Returning from Vietnam to Israel.","Meltzer E, Lustig Y, Leshem E, Levy R, Gottesman G, Weissmann R, Rabi DH, Hindiyeh M, Koren R, Mendelson E, Schwartz E.Zika Virus Disease in Traveler Returning from Vietnam to Israel. Emerg Infect Dis. 2016 Aug; 22(8):1521-2." 
27331661,"Aiken AR, Scott JG, Gomperts R, Trussell J, Worrell M, Aiken CE","2016","Jul","Requests for Abortion in Latin America Related to Concern about Zika Virus Exposure.","Aiken AR, Scott JG, Gomperts R, Trussell J, Worrell M, Aiken CE.Requests for Abortion in Latin America Related to Concern about Zika Virus Exposure. N Engl J Med. 2016 Jul 28; 375(4):396-8." 
27332714,"Pylro VS, Oliveira FS, Morais DK, Cuadros-Orellana S, Pais FS, Medeiros JD, Geraldo JA, Gilbert J, Volpini AC, Fernandes GR","2016","Jun","ZIKV - CDB: A Collaborative Database to Guide Research Linking SncRNAs and ZIKA Virus Disease Symptoms.","Pylro VS, Oliveira FS, Morais DK, Cuadros-Orellana S, Pais FS, Medeiros JD, Geraldo JA, Gilbert J, Volpini AC, Fernandes GR.ZIKV - CDB: A Collaborative Database to Guide Research Linking SncRNAs and ZIKA Virus Disease Symptoms. PLoS Negl Trop Dis. 2016 Jun; 10(6):e0004817." 
27332734,"Pingen M, Bryden SR, Pondeville E, Schnettler E, Kohl A, Merits A, Fazakerley JK, Graham GJ, McKimmie CS","2016","Jun","Host Inflammatory Response to Mosquito Bites Enhances the Severity of Arbovirus Infection.","Pingen M, Bryden SR, Pondeville E, Schnettler E, Kohl A, Merits A, Fazakerley JK, Graham GJ, McKimmie CS.Host Inflammatory Response to Mosquito Bites Enhances the Severity of Arbovirus Infection. Immunity. 2016 Jun 21; 44(6):1455-69." 
27332784,"Furtado JM, Espósito DL, Klein TM, Teixeira-Pinto T, da Fonseca BA","2016","Jul","Uveitis Associated with Zika Virus Infection.","Furtado JM, Espósito DL, Klein TM, Teixeira-Pinto T, da Fonseca BA.Uveitis Associated with Zika Virus Infection. N Engl J Med. 2016 Jul 28; 375(4):394-6." 
27333025,"Paul RE","2016","Jul","The When and the Where of Zika Epidemic Potential in Europe - An Evidence Base for Public Health Preparedness.","Paul RE.The When and the Where of Zika Epidemic Potential in Europe - An Evidence Base for Public Health Preparedness. EBioMedicine. 2016 Jul; 9:17-18." 
27333366,"Sarmento UC, Miguita CH, Almeida LH, Gaban CR, Silva LM, Souza AS, Garcez WS, Garcez FR","2016","Jun","Larvicidal efficacies of plants from Midwestern Brazil: melianodiol from Guarea kunthiana as a potential biopesticide against Aedes aegypti.","Sarmento UC, Miguita CH, Almeida LH, Gaban CR, Silva LM, Souza AS, Garcez WS, Garcez FR.Larvicidal efficacies of plants from Midwestern Brazil: melianodiol from Guarea kunthiana as a potential biopesticide against Aedes aegypti. Mem Inst Oswaldo Cruz. 2016 Jun 20; 0:0." 
27334910,"Mayor S","2016","Jun","Abortion requests increase in Latin America after Zika warning, figures show.","Mayor S.Abortion requests increase in Latin America after Zika warning, figures show. BMJ. 2016 Jun 22; 353:i3492." 
27335310,"Adiga R","2016","Oct","Phylogenetic analysis of the NS5 gene of Zika virus.","Adiga R.Phylogenetic analysis of the NS5 gene of Zika virus. J Med Virol. 2016 Oct; 88(10):1821-6." 
27336445,"Wiwanitkit V","2016","","The current status of Zika virus in Southeast Asia.","Wiwanitkit V.The current status of Zika virus in Southeast Asia. Epidemiol Health. 2016; 38:e2016026." 
27336620,"Perez S, Tato R, Cabrera JJ, Lopez A, Robles O, Paz E, Coira A, Sanchez-Seco MP, Vazquez A, Carballo R, Quintas C, Pousa A","2016","Jun","Confirmed case of Zika virus congenital infection, Spain, March 2016.","Perez S, Tato R, Cabrera JJ, Lopez A, Robles O, Paz E, Coira A, Sanchez-Seco MP, Vazquez A, Carballo R, Quintas C, Pousa A.Confirmed case of Zika virus congenital infection, Spain, March 2016. Euro Surveill. 2016 Jun 16; 21(24)" 
27336950,"Taylor TJ, Diaz F, Colgrove RC, Bernard KA, DeLuca NA, Whelan SPJ, Knipe DM","2016","Sep","Production of immunogenic West Nile virus-like particles using a herpes simplex virus 1 recombinant vector.","Taylor TJ, Diaz F, Colgrove RC, Bernard KA, DeLuca NA, Whelan SPJ, Knipe DM.Production of immunogenic West Nile virus-like particles using a herpes simplex virus 1 recombinant vector. Virology. 2016 Sep; 496:186-193." 
27336960,"D'Alò GL, Ciabattini M, Zaratti L, Franco E","2016","Mar-Apr","[Zika virus: a public health overview on epidemiology, clinical practice and prevention].","D'Alò GL, Ciabattini M, Zaratti L, Franco E.[Zika virus: a public health overview on epidemiology, clinical practice and prevention]. Ig Sanita Pubbl. 2016 Mar-Apr; 72(2):161-80." 
27337368,"Kuehnert MJ, Basavaraju SV, Moseley RR, Pate LL, Galel SA, Williamson PC, Busch MP, Alsina JO, Climent-Peris C, Marks PW, Epstein JS, Nakhasi HL, Hobson JP, Leiby DA, Akolkar PN, Petersen LR, Rivera-Garcia B","2016","Jun","Screening of Blood Donations for Zika Virus Infection - Puerto Rico, April 3-June 11, 2016.","Kuehnert MJ, Basavaraju SV, Moseley RR, Pate LL, Galel SA, Williamson PC, Busch MP, Alsina JO, Climent-Peris C, Marks PW, Epstein JS, Nakhasi HL, Hobson JP, Leiby DA, Akolkar PN, Petersen LR, Rivera-Garcia B.Screening of Blood Donations for Zika Virus Infection - Puerto Rico, April 3-June 11, 2016. MMWR Morb Mortal Wkly Rep. 2016 Jun 24; 65(24):627-8." 
27337468,"Slenczka W","2016","Jun","Zika Virus Disease.","Slenczka W.Zika Virus Disease. Microbiol Spectr. 2016 Jun; 4(3)" 
27337505,"Lee CT, Vora NM, Bajwa W, Boyd L, Harper S, Kass D, Langston A, McGibbon E, Merlino M, Rakeman JL, Raphael M, Slavinski S, Tran A, Wong R, Varma JK","2016","Jun","Zika Virus Surveillance and Preparedness - New York City, 2015-2016.","Lee CT, Vora NM, Bajwa W, Boyd L, Harper S, Kass D, Langston A, McGibbon E, Merlino M, Rakeman JL, Raphael M, Slavinski S, Tran A, Wong R, Varma JK.Zika Virus Surveillance and Preparedness - New York City, 2015-2016. MMWR Morb Mortal Wkly Rep. 2016 Jun 24; 65(24):629-635." 
27338953,"Barba-Spaeth G, Dejnirattisai W, Rouvinski A, Vaney MC, Medits I, Sharma A, Simon-Lorière E, Sakuntabhai A, Cao-Lormeau VM, Haouz A, England P, Stiasny K, Mongkolsapaya J, Heinz FX, Screaton GR, Rey FA","2016","Aug","Structural basis of potent Zika-dengue virus antibody cross-neutralization.","Barba-Spaeth G, Dejnirattisai W, Rouvinski A, Vaney MC, Medits I, Sharma A, Simon-Lorière E, Sakuntabhai A, Cao-Lormeau VM, Haouz A, England P, Stiasny K, Mongkolsapaya J, Heinz FX, Screaton GR, Rey FA.Structural basis of potent Zika-dengue virus antibody cross-neutralization. Nature. 2016 Aug 4; 536(7614):48-53." 
27339099,"Dejnirattisai W, Supasa P, Wongwiwat W, Rouvinski A, Barba-Spaeth G, Duangchinda T, Sakuntabhai A, Cao-Lormeau VM, Malasit P, Rey FA, Mongkolsapaya J, Screaton GR","2016","Sep","Dengue virus sero-cross-reactivity drives antibody-dependent enhancement of infection with zika virus.","Dejnirattisai W, Supasa P, Wongwiwat W, Rouvinski A, Barba-Spaeth G, Duangchinda T, Sakuntabhai A, Cao-Lormeau VM, Malasit P, Rey FA, Mongkolsapaya J, Screaton GR.Dengue virus sero-cross-reactivity drives antibody-dependent enhancement of infection with zika virus. Nat Immunol. 2016 Sep; 17(9):1102-8." 
27339593,"Yusuf M, Hussain HF","2016","Jun","Zika virus: Another alarming threat.","Yusuf M, Hussain HF.Zika virus: Another alarming threat. J Pak Med Assoc. 2016 Jun; 66(6):789." 
27339887,"Suter MA, Aagaard KM","2016","Aug","Disease watch: Zika virus - placental passage and permissivity for infection.","Suter MA, Aagaard KM.Disease watch: Zika virus - placental passage and permissivity for infection. Nat Rev Endocrinol. 2016 Aug; 12(8):437-8." 
27339992,"The Lancet Global Health","2016","Jul","The right(s) approach to Zika.","The Lancet Global Health.The right(s) approach to Zika. Lancet Glob Health. 2016 Jul; 4(7):e427." 
27341420,"Bonaldo MC, Ribeiro IP, Lima NS, Dos Santos AA, Menezes LS, da Cruz SO, de Mello IS, Furtado ND, de Moura EE, Damasceno L, da Silva KA, de Castro MG, Gerber AL, de Almeida LG, Lourenço-de-Oliveira R, Vasconcelos AT, Brasil P","2016","Jun","Isolation of Infective Zika Virus from Urine and Saliva of Patients in Brazil.","Bonaldo MC, Ribeiro IP, Lima NS, Dos Santos AA, Menezes LS, da Cruz SO, de Mello IS, Furtado ND, de Moura EE, Damasceno L, da Silva KA, de Castro MG, Gerber AL, de Almeida LG, Lourenço-de-Oliveira R, Vasconcelos AT, Brasil P.Isolation of Infective Zika Virus from Urine and Saliva of Patients in Brazil. PLoS Negl Trop Dis. 2016 Jun; 10(6):e0004816." 
27341759,"Suryamohan K, Hanson C, Andrews E, Sinha S, Scheel MD, Halfon MS","2016","Aug","Redeployment of a conserved gene regulatory network during Aedes aegypti development.","Suryamohan K, Hanson C, Andrews E, Sinha S, Scheel MD, Halfon MS.Redeployment of a conserved gene regulatory network during Aedes aegypti development. Dev Biol. 2016 Aug 15; 416(2):402-13." 
27342126,"Savidis G, McDougall WM, Meraner P, Perreira JM, Portmann JM, Trincucci G, John SP, Aker AM, Renzette N, Robbins DR, Guo Z, Green S, Kowalik TF, Brass AL","2016","Jun","Identification of Zika Virus and Dengue Virus Dependency Factors using Functional Genomics.","Savidis G, McDougall WM, Meraner P, Perreira JM, Portmann JM, Trincucci G, John SP, Aker AM, Renzette N, Robbins DR, Guo Z, Green S, Kowalik TF, Brass AL.Identification of Zika Virus and Dengue Virus Dependency Factors using Functional Genomics. Cell Rep. 2016 Jun 28; 16(1):232-246." 
27343150,"Nunes AT, Brito NF, Oliveira DS, Araujo GD, Nogueira FC, Domont GB, Moreira MF, Moreira LM, Soares MR, Melo AC","2016","Oct","Comparative proteome analysis reveals that blood and sugar meals induce differential protein expression in Aedes aegypti female heads.","Nunes AT, Brito NF, Oliveira DS, Araujo GD, Nogueira FC, Domont GB, Moreira MF, Moreira LM, Soares MR, Melo AC.Comparative proteome analysis reveals that blood and sugar meals induce differential protein expression in Aedes aegypti female heads. Proteomics. 2016 Oct; 16(19):2582-2586." 
27344138,"Carneiro BM, Batista MN, Braga ACS, Nogueira ML, Rahal P","2016","Sep","The green tea molecule EGCG inhibits Zika virus entry.","Carneiro BM, Batista MN, Braga ACS, Nogueira ML, Rahal P.The green tea molecule EGCG inhibits Zika virus entry. Virology. 2016 Sep; 496:215-218." 
27344225,"Rocklöv J, Quam MB, Sudre B, German M, Kraemer MUG, Brady O, Bogoch II, Liu-Helmersson J, Wilder-Smith A, Semenza JC, Ong M, Aaslav KK, Khan K","2016","Jul","Assessing Seasonal Risks for the Introduction and Mosquito-borne Spread of Zika Virus in Europe.","Rocklöv J, Quam MB, Sudre B, German M, Kraemer MUG, Brady O, Bogoch II, Liu-Helmersson J, Wilder-Smith A, Semenza JC, Ong M, Aaslav KK, Khan K.Assessing Seasonal Risks for the Introduction and Mosquito-borne Spread of Zika Virus in Europe. EBioMedicine. 2016 Jul; 9:250-256." 
27344400,"Murugan K, Anitha J, Dinesh D, Suresh U, Rajaganesh R, Chandramohan B, Subramaniam J, Paulpandi M, Vadivalagan C, Amuthavalli P, Wang L, Hwang JS, Wei H, Alsalhi MS, Devanesan S, Kumar S, Pugazhendy K, Higuchi A, Nicoletti M, Benelli G","2016","Oct","Fabrication of nano-mosquitocides using chitosan from crab shells: Impact on non-target organisms in the aquatic environment.","Murugan K, Anitha J, Dinesh D, Suresh U, Rajaganesh R, Chandramohan B, Subramaniam J, Paulpandi M, Vadivalagan C, Amuthavalli P, Wang L, Hwang JS, Wei H, Alsalhi MS, Devanesan S, Kumar S, Pugazhendy K, Higuchi A, Nicoletti M, Benelli G.Fabrication of nano-mosquitocides using chitosan from crab shells: Impact on non-target organisms in the aquatic environment. Ecotoxicol Environ Saf. 2016 Oct; 132:318-28." 
27344465,"Gańczak M","2016","","Zika--an emerging infectious disease. The risk assessment from Polish perspective.","Gańczak M.Zika--an emerging infectious disease. The risk assessment from Polish perspective. Przegl Epidemiol. 2016; 70(1):1-6, 93-7." 
27345865,"Hickman HD, Pierson TC","2016","Aug","Zika in the Brain: New Models Shed Light on Viral Infection.","Hickman HD, Pierson TC.Zika in the Brain: New Models Shed Light on Viral Infection. Trends Mol Med. 2016 Aug; 22(8):639-41." 
27347853,"Matheus S, Boukhari R, Labeau B, Ernault V, Bremand L, Kazanji M, Rousset D","2016","Sep","Specificity of Dengue NS1 Antigen in Differential Diagnosis of Dengue and Zika Virus Infection.","Matheus S, Boukhari R, Labeau B, Ernault V, Bremand L, Kazanji M, Rousset D.Specificity of Dengue NS1 Antigen in Differential Diagnosis of Dengue and Zika Virus Infection. Emerg Infect Dis. 2016 Sep; 22(9):1691-3." 
27348136,"Olagnier D, Muscolini M, Coyne CB, Diamond MS, Hiscott J","2016","Aug","Mechanisms of Zika Virus Infection and Neuropathogenesis.","Olagnier D, Muscolini M, Coyne CB, Diamond MS, Hiscott J.Mechanisms of Zika Virus Infection and Neuropathogenesis. DNA Cell Biol. 2016 Aug; 35(8):367-72." 
27350348,"Liu H, Liu T, Xie L, Wang X, Deng Y, Chen CH, James AA, Chen XG","2016","Jun","Functional analysis of Orco and odorant receptors in odor recognition in Aedes albopictus.","Liu H, Liu T, Xie L, Wang X, Deng Y, Chen CH, James AA, Chen XG.Functional analysis of Orco and odorant receptors in odor recognition in Aedes albopictus. Parasit Vectors. 2016 Jun 27; 9(1):363." 
27352279,"Dudley DM, Aliota MT, Mohr EL, Weiler AM, Lehrer-Brey G, Weisgrau KL, Mohns MS, Breitbach ME, Rasheed MN, Newman CM, Gellerup DD, Moncla LH, Post J, Schultz-Darken N, Schotzko ML, Hayes JM, Eudailey JA, Moody MA, Permar SR, O'Connor SL, Rakasz EG, Simmons HA, Capuano S, Golos TG, Osorio JE, Friedrich TC, O'Connor DH","2016","Jun","A rhesus macaque model of Asian-lineage Zika virus infection.","Dudley DM, Aliota MT, Mohr EL, Weiler AM, Lehrer-Brey G, Weisgrau KL, Mohns MS, Breitbach ME, Rasheed MN, Newman CM, Gellerup DD, Moncla LH, Post J, Schultz-Darken N, Schotzko ML, Hayes JM, Eudailey JA, Moody MA, Permar SR, O'Connor SL, Rakasz EG, Simmons HA, Capuano S, Golos TG, Osorio JE, Friedrich TC, O'Connor DH.A rhesus macaque model of Asian-lineage Zika virus infection. Nat Commun. 2016 Jun 28; 7:12204." 
27352748,"Nicastri E, Castilletti C, Di Caro A, Capobianchi MR, Ippolito G","2016","Jul","Diagnosis of Zika virus infection in pregnant women travelling to or residing in endemic areas.","Nicastri E, Castilletti C, Di Caro A, Capobianchi MR, Ippolito G.Diagnosis of Zika virus infection in pregnant women travelling to or residing in endemic areas. Lancet Infect Dis. 2016 Jul; 16(7):771-772." 
27352749,"de Souza Campos Fernandes RC, de Souza TL, Medina-Acosta E","2016","Jul","Congenital Zika syndrome in Brazil.","de Souza Campos Fernandes RC, de Souza TL, Medina-Acosta E.Congenital Zika syndrome in Brazil. Lancet Infect Dis. 2016 Jul; 16(7):772." 
27352750,"Vouga M, Musso D, Panchaud A, Baud D","2016","Jul","Clinical management of pregnant women exposed to Zika virus.","Vouga M, Musso D, Panchaud A, Baud D.Clinical management of pregnant women exposed to Zika virus. Lancet Infect Dis. 2016 Jul; 16(7):773." 
27352763,"Brasil P, Calvet GA, de Souza RV, Siqueira AM","2016","Jul","Exanthema associated with Zika virus infection.","Brasil P, Calvet GA, de Souza RV, Siqueira AM.Exanthema associated with Zika virus infection. Lancet Infect Dis. 2016 Jul; 16(7):866." 
