pmcid,issn,pubtype,pubdate
27156408,2046-2336,Journal Article,2016/05/09
27156435,0140-6736,Letter,2016/05/14
27156436,0140-6736,Letter,2016/05/14
27156484,0025-7753,Journal Article,2016/10/07
27156653,1567-1348,Journal Article,2016/09/01
27157106,0736-4679,Journal Article,2016/06/01
27158114,1931-3128,Journal Article,2016/05/11
27158449,2046-1402,Journal Article,2016/02/18
27158557,2157-3999,Journal Article,2016/04/15
27158761,0165-2176,Journal Article,2016/09/01
27160110,0959-8138,Journal Article,2016/05/09
27160350,0092-8674,Journal Article,2016/05/19
27160366,1090-3798,Editorial,2016/07/01
27161480,1471-2164,Journal Article,2016/05/10
27162029,1934-5909,Journal Article,2016/08/04
27163257,1935-2727,Journal Article,2016/05/10
27163559,0037-8682,Journal Article,2016/02/01
27164708,0028-3878,Journal Article,2016/07/19
27165390,1354-5752,Journal Article,2016/05/01
27166755,2168-6068,Journal Article,2016/06/01
27167249,2168-6068,Journal Article,2016/06/01
27167537,0104-4230,Journal Article,2016/04/01
27167538,0104-4230,Journal Article,2016/04/01
27167975,0037-9085,Journal Article,2016/05/01
27168495,2168-6068,Journal Article,2016/06/01
27168917,1999-768X,Journal Article,2016/03/01
27170237,1444-0903,Editorial,2016/05/01
27171034,1025-496X,Journal Article,2016/05/05
27171368,0149-2195,Journal Article,2016/05/13
27171533,0149-2195,Journal Article,2016/05/13
27171600,0149-2195,Journal Article,2016/05/13
27171972,0149-2195,Journal Article,2016/05/13
27172672,1461-3123,Journal Article,2016/04/01
27172823,0342-4642,Journal Article,2016/09/01
27172988,1674-800X,Letter,2016/06/01
27173701,0007-0610,Journal Article,2016/05/13
27173920,1931-3128,Journal Article,2016/05/11
27173929,1931-3128,Journal Article,2016/05/11
27174054,1001-0602,Journal Article,2016/06/01
27174274,2169-8287,Journal Article,2016/05/12
27174284,2169-8287,Journal Article,2016/05/12
27174386,0929-6646,Comment,2016/08/01
27174964,0036-8075,News,2016/05/13
27175508,0374-9096,Journal Article,2016/04/01
27175724,0002-838X,Journal Article,2016/05/15
27175927,0040-4470,Interview,2016/05/01
27177409,1723-2007,Letter,2017/05/01
27177718,1473-3099,Editorial,2016/06/01
27179414,0953-6205,Letter,2016/09/01
27179424,1934-5909,Journal Article,2016/07/07
27179929,1879-6257,Journal Article,2016/06/01
27180225,0092-8674,Journal Article,2016/05/19
27180726,0965-1748,Journal Article,2016/07/01
27183312,2168-6149,Journal Article,2016/07/01
27184420,1473-3099,Letter,2016/06/01
27184421,1473-3099,Letter,2016/06/01
27184629,1080-6040,Journal Article,2016/07/01
27186984,1935-2727,Journal Article,2016/05/17
27187593,1932-6203,Journal Article,2016/05/17
27188344,0254-6450,Journal Article,2016/05/01
27188345,0254-6450,Evaluation Studies,2016/05/01
27188346,0254-6450,Journal Article,2016/05/01
27191483,1080-6040,Journal Article,2016/08/01
27192024,0102-311X,Journal Article,2016/05/01
27192026,0102-311X,Journal Article,2016/05/01
27192031,0102-311X,Editorial,2016/05/01
27193266,1654-9716,Journal Article,2016/05/17
27193639,0028-0836,Editorial,2016/05/19
27193747,1058-4838,Journal Article,2016/09/15
27194600,1471-003X,Journal Article,2016/05/19
27196544,1121-7138,Journal Article,2016/04/01
27196545,1121-7138,Journal Article,2016/04/01
27197113,0443-5117,Journal Article,2016/07/01
27197311,0147-6041,Journal Article,2016/05/01
27197772,1053-2498,Editorial,2016/05/01
27198478,1931-3128,Journal Article,2016/06/08
27198836,2214-109X,Letter,2016/06/01
27198837,2214-109X,Letter,2016/06/01
27198838,2214-109X,Letter,2016/06/01
27203101,0092-8674,Editorial,2016/05/19
27203490,0140-6736,News,2016/04/30
27203498,0140-6736,Comment,2016/04/30
27203499,0140-6736,Comment,2016/04/30
27205899,1935-2727,Journal Article,2016/05/20
27207138,1674-7305,Journal Article,2016/07/01
27207189,1046-7408,Comment,2016/08/01
27207768,0959-8138,News,2016/05/20
27207862,0959-8138,News,2016/05/20
27208545,0146-6615,Journal Article,2016/10/01
27208632,1201-9712,Letter,2016/07/01
27208633,1201-9712,Journal Article,2016/07/01
27209175,0300-8126,Journal Article,2016/12/01
27209301,1674-800X,Letter,2016/06/01
27211476,2214-109X,Journal Article,2016/08/01
27211788,1740-1526,Journal Article,2016/07/01
27212079,1476-0584,Journal Article,2016/09/01
27212660,1931-3128,Journal Article,2016/06/08
27212842,0973-2063,Journal Article,2016/01/31
27214379,1935-2727,Published Erratum,2016/05/23
27215946,1413-8670,Editorial,2016/05/01
27216759,0264-410X,Journal Article,2016/06/24
27216764,0959-8138,News,2016/05/23
27217167,0253-1933,Journal Article,2016/04/01
27219081,0023-7205,Journal Article,2016/05/23
27220167,1068-8838,News,2016/04/01
27220937,0966-842X,Journal Article,2016/07/01
27221166,0029-2001,Editorial,2016/05/24
27221543,1726-4901,Letter,2016/07/01
27222919,0028-4793,Journal Article,2016/07/07
27223135,1806-8324,Letter,2016/05/20
27223311,1078-4659,Journal Article,2016/07/01
27223315,1078-4659,Journal Article,2016/07/01
27224278,1516-3180,Comment,2016/04/01
27224471,1477-8939,Editorial,2016/05/01
27225109,0028-0836,Letter,2016/05/26
27225243,1058-4838,Letter,2016/09/01
27226280,1556-6811,Journal Article,2016/07/05
27227971,1935-2727,Editorial,2016/05/26
27228275,2168-6165,Journal Article,2016/08/01
27229696,0028-2162,Journal Article,2016/01/01
27230287,1092-7875,Journal Article,2016/07/01
27230852,0340-5354,Journal Article,2016/06/01
27231186,1759-4758,Journal Article,2016/07/01
27232461,1354-523X,Journal Article,2017/01/01
27232506,1139-6121,Journal Article,2016/04/01
27232529,0100-7203,Journal Article,2016/06/01
27232603,1935-2727,Published Erratum,2016/05/27
27233282,1064-3745,Journal Article,2016/01/01
27234417,0022-1899,Journal Article,2016/09/01
27236271,0161-6420,Journal Article,2016/08/01
27236440,1080-0549,Journal Article,2016/12/01
27236614,0025-7753,Letter,2016/08/19
27236867,0363-7913,Journal Article,2016/02/01
27241952,2047-7724,Editorial,2016/03/01
27242166,0022-1007,Clinical Trial,2016/06/27
27242327,1286-4579,Editorial,2016/09/01
27244249,1932-6203,Journal Article,2016/05/31
27244952,0360-1293,Journal Article,2016/01/01
27247001,1931-3128,Journal Article,2016/07/13
27247243,0959-8138,Journal Article,2016/05/31
27247350,0022-2585,Journal Article,2016/07/01
27248295,0149-2195,Journal Article,2016/05/27
27249063,1935-2727,Journal Article,2016/06/01
27249094,1096-2964,Comment,2016/08/01
27249182,0021-8561,Journal Article,2016/06/22
27251981,2369-2960,Journal Article,2016/06/01
27253205,2168-6165,Journal Article,2016/08/01
27253365,2168-6165,Journal Article,2016/08/01
27253432,2168-6165,Journal Article,2016/08/01
27254248,0149-2195,Journal Article,2016/06/03
27254259,1025-496X,Letter,2016/05/26
27254835,2168-6165,Journal Article,2016/08/01
27255107,0959-8138,News,2016/06/01
27255410,1471-4914,Journal Article,2016/07/01
27255550,0001-7310,Journal Article,2016/10/01
27255682,1354-523X,Letter,2017/01/01
27255948,2158-0111,Journal Article,2016/05/01
27256555,1471-003X,Journal Article,2016/07/01
27256738,0253-9624,Journal Article,2016/06/01
27257232,0036-8075,News,2016/06/03
27257326,0377-1237,Journal Article,2016/04/01
27258065,1935-2727,Congresses,2016/06/03
27260223,1029-8428,Journal Article,2016/08/01
27260568,0014-4894,Journal Article,2016/08/01
27260832,0002-9343,Journal Article,2016/10/01
27261195,0959-6658,Journal Article,2016/07/01
27261852,1995-7645,Journal Article,2016/05/01
27261865,1995-7645,Letter,2016/05/01
27262078,1995-7645,Letter,2016/06/01
27265325,0929-6646,Comment,2016/08/01
27265775,1476-7058,Journal Article,2017/05/01
27267799,1477-8939,Letter,2016/07/01
27268016,1741-7015,Editorial,2016/06/06
27268504,2211-1247,Journal Article,2016/06/14
27268505,2211-1247,Journal Article,2016/06/14
27269900,0959-8138,Journal Article,2016/06/06
27270120,0820-3946,News,2016/07/12
27272118,2168-6149,Journal Article,2016/08/01
27272625,0803-5253,Editorial,2016/07/01
27273075,1355-0284,Journal Article,2016/12/01
27273239,0022-2585,Journal Article,2016/07/01
27273325,0018-067X,Journal Article,2016/09/01
27274588,0042-9686,Journal Article,2016/06/01
27274849,2052-2975,Journal Article,2016/03/08
27278486,1743-422X,Journal Article,2016/06/08
27278855,0146-6615,Journal Article,2016/10/01
27279226,0028-0836,Journal Article,2016/06/09
27280061,2157-3999,Journal Article,2016/05/09
27280322,0149-2195,Journal Article,2016/06/10
27281566,1931-3128,Journal Article,2016/06/08
27281741,0893-8512,Journal Article,2016/07/01
27282424,1473-3099,Historical Article,2016/07/01
27282638,0041-1132,Journal Article,2016/07/01
27282681,2149-2263,Letter,2016/06/01
27282817,0022-2585,Journal Article,2016/06/09
27283140,2092-7193,Journal Article,2016/05/31
27283145,0007-1420,Journal Article,2016/09/01
27283801,1001-0602,Journal Article,2016/07/01
27283926,1876-0341,Journal Article,2017/01/01
27284020,0959-8138,News,2016/06/09
27285308,1476-7058,Journal Article,2017/07/01
27285427,0039-3665,Journal Article,2016/06/01
27286010,1354-5752,News,2016/06/01
27286563,0891-3668,Journal Article,2016/12/01
27287356,1751-4851,Journal Article,2016/06/01
27287830,0140-6736,Letter,2016/06/18
27287833,0140-6736,Letter,2016/06/18
27288540,1755-4365,Journal Article,2016/06/01
27289006,0884-2175,Editorial,2016/07/01
27289428,1386-6532,Journal Article,2016/08/01
27290831,0300-9041,Editorial,2016/02/01
27292005,0304-4602,Journal Article,2016/04/01
27293547,2045-3701,Journal Article,2016/06/10
27294787,1935-2727,Journal Article,2016/06/13
27295893,1000-8721,Journal Article,2016/01/01
27295904,0042-8450,Editorial,2016/03/01
27296393,0956-3202,Journal Article,2015/08/01
27299167,1025-496X,News,2016/01/01
27299353,0342-4642,Published Erratum,2016/09/01
27301356,0959-8138,Letter,2016/06/14
27303071,0018-5787,Journal Article,2016/04/01
27303663,2296-2565,Journal Article,2016/05/31
27303723,2379-5042,Journal Article,2016/04/06
27304097,0074-0276,Journal Article,2016/06/01
27305043,0028-4793,Journal Article,2016/06/15
27306056,1743-422X,Journal Article,2016/06/16
27306491,0003-2700,Journal Article,2016/07/19
27307213,1757-7004,Journal Article,2016/11/01
27309781,0887-6274,Journal Article,2016/07/01
27309791,0887-6274,Journal Article,2016/07/01
27311329,1025-496X,Journal Article,2016/06/09
27311388,0001-706X,Journal Article,2016/10/01
27311680,1025-496X,Journal Article,2016/06/09
27311776,1025-496X,Editorial,2016/06/09
27312324,2045-2322,Journal Article,2016/06/17
27313200,1025-496X,Journal Article,2016/06/09
27314996,0716-1018,Journal Article,2016/04/01
27315005,0716-1018,Journal Article,2016/04/01
27316349,0197-3851,Journal Article,2016/08/01
27316385,2452-3186,Editorial,2016/04/01
27316500,0019-4832,Letter,2016/05/01
27317419,0959-8138,News,2016/06/17
27317512,0190-9622,Journal Article,2016/07/01
27317825,1293-8505,Journal Article,2016/06/01
27318417,0264-410X,Journal Article,2016/07/19
27318605,1011-1344,Journal Article,2016/08/01
27319020,0049-8114,Journal Article,2016/06/17
27319025,0010-7174,Journal Article,2016/07/01
27321115,0163-4453,Letter,2016/09/01
27321961,1201-9712,Editorial,2016/06/01
27321962,1201-9712,Journal Article,2016/06/01
27322491,2168-6203,Journal Article,2016/08/01
27322537,1932-6203,Journal Article,2016/06/20
27323483,1660-9379,Journal Article,2016/05/04
27323550,1025-9589,Editorial,2016/01/01
27323600,1025-9589,Journal Article,2016/01/01
27323918,0140-6736,Letter,2016/07/02
27324390,1933-7213,Journal Article,2016/07/01
27326435,1025-496X,News,2016/01/01
27326944,0300-5283,Journal Article,2016/04/01
27327000,0093-7355,Journal Article,2016/06/21
27328974,0959-8138,News,2016/06/21
27329509,0197-5897,Journal Article,2016/06/15
27329551,0041-1132,,2016/07/01
27330653,1936-900X,Journal Article,2016/05/01
27330849,2157-3999,Journal Article,2016/02/01
27331627,1080-6040,Letter,2016/08/01
27331661,0028-4793,Letter,2016/07/28
27332714,1935-2727,Journal Article,2016/06/22
27332734,1074-7613,Journal Article,2016/06/21
27332784,0028-4793,Letter,2016/07/28
27333025,2352-3964,Letter,2016/07/01
27333366,0074-0276,Journal Article,2016/06/20
27334910,0959-8138,News,2016/06/22
27335310,0146-6615,Journal Article,2016/10/01
27336445,2092-7193,Journal Article,2016/06/16
27336620,1025-496X,Journal Article,2016/06/16
27336950,0042-6822,Journal Article,2016/09/01
27336960,0019-1639,Journal Article,2016/03/01
27337368,0149-2195,Journal Article,2016/06/24
27337468,2165-0497,Journal Article,2016/06/01
27337505,0149-2195,Journal Article,2016/06/24
27338953,0028-0836,Journal Article,2016/08/04
27339099,1529-2908,Journal Article,2016/09/01
27339593,0030-9982,Journal Article,2016/06/01
27339887,1759-5029,Journal Article,2016/08/01
27339992,2214-109X,Editorial,2016/07/01
27341420,1935-2727,Journal Article,2016/06/24
27341759,0012-1606,Journal Article,2016/08/15
27342126,2211-1247,Journal Article,2016/06/28
27343150,1615-9853,Journal Article,2016/10/01
27344138,0042-6822,Journal Article,2016/09/01
27344225,2352-3964,Journal Article,2016/07/01
27344400,0147-6513,Journal Article,2016/10/01
27344465,0033-2100,Journal Article,2016/01/01
27345865,1471-4914,Journal Article,2016/08/01
27347853,1080-6040,Letter,2016/09/01
27348136,1044-5498,Journal Article,2016/08/01
27350348,1756-3305,Journal Article,2016/06/27
27352279,2041-1723,Journal Article,2016/06/28
27352748,1473-3099,Letter,2016/07/01
27352749,1473-3099,Letter,2016/07/01
27352750,1473-3099,Letter,2016/07/01
27352763,1473-3099,Journal Article,2016/07/01
27353042,0959-8138,News,2016/06/28
27353759,2150-7511,Journal Article,2016/06/28
27353814,0140-6736,Comment,2016/06/25
27353815,0140-6736,Comment,2016/06/25
27353817,0140-6736,Comment,2016/06/25
27354440,0022-2585,Journal Article,2016/09/01
27354515,0027-8424,Journal Article,2016/07/12
27355409,0028-4793,Comment,2016/07/21
27355410,0028-4793,Journal Article,2016/06/29
27355411,0028-4793,Comment,2016/07/21
27355468,0034-8910,Journal Article,2016/06/27
27355570,0028-0836,Journal Article,2016/08/25
27356247,0028-8446,Editorial,2016/04/01
27357348,0006-8950,Journal Article,2016/08/01
27358939,2095-4352,Journal Article,2016/02/01
27359297,1050-642X,Journal Article,2016/07/01
27359317,0012-0472,Journal Article,2016/07/01
27363326,1477-8939,Journal Article,2016/07/01
27364179,1641-9251,Letter,2016/01/01
27364784,2352-3964,Journal Article,2016/08/01
27364879,0929-6646,Comment,2016/09/01
27364935,2045-2322,Journal Article,2016/07/01
27365085,1933-7213,Journal Article,2016/07/01
27366020,1011-8934,Journal Article,2016/07/01
27366289,1941-8744,Journal Article,2016/07/01
27366585,2157-3999,Journal Article,2016/05/25
27366586,2157-3999,Journal Article,2016/05/31
27366587,2157-3999,Journal Article,2016/06/10
27366760,2347-3584,Journal Article,2016/06/01
27367003,2036-6590,Journal Article,2016/06/30
27367331,1124-9390,Journal Article,2016/06/01
27367466,1080-6040,Letter,2016/09/01
27368092,0092-8674,Journal Article,2016/06/30
27372395,0140-6736,Journal Article,2016/08/27
27372396,0140-6736,Comment,2016/08/27
27372398,0140-6736,Journal Article,2016/08/27
27372399,0140-6736,Comment,2016/08/27
27373766,0163-4453,Letter,2016/09/01
27377478,0325-7541,Journal Article,2016/04/01
27378033,1471-8731,Editorial,2016/08/01
27378370,1195-1982,Journal Article,2016/07/04
27378764,0959-8138,Journal Article,2016/07/04
27378805,0028-3878,Journal Article,2016/07/05
27380423,0360-4039,Journal Article,2016/08/01
27381219,2222-1751,Letter,2016/07/06
27383459,0102-311X,Journal Article,2016/06/01
27383948,0028-0836,Editorial,2016/07/07
27383962,0028-0836,News,2016/07/07
27383987,0028-0836,Journal Article,2016/07/07
27383988,0028-0836,Journal Article,2016/07/07
27384574,1661-7827,Journal Article,2016/07/04
27384803,1354-5752,Journal Article,2016/07/06
27384821,0037-8682,Journal Article,2016/05/01
27385228,0278-2715,Journal Article,2016/07/01
27386894,1025-496X,Journal Article,2016/06/30
27386922,0036-8075,Journal Article,2016/07/29
27387029,0966-842X,Journal Article,2016/08/01
27389584,1553-7366,Journal Article,2016/07/07
27389909,1386-6532,Journal Article,2016/09/01
27389971,1476-0584,Journal Article,2016/09/01
27389990,0041-1132,Editorial,2016/07/01
27390166,0049-4755,Journal Article,2016/07/01
27390239,0033-8397,Journal Article,2016/07/01
27391568,1536-0903,News,2016/08/01
27392219,1934-5909,Comment,2016/07/07
27393087,1995-7645,Journal Article,2016/07/01
27393088,1995-7645,Journal Article,2016/07/01
27393105,1995-7645,Journal Article,2016/07/01
27393106,1995-7645,Letter,2016/07/01
27393681,0166-0934,Journal Article,2016/10/01
27397775,0140-6736,Journal Article,2016/07/02
27399257,1545-9993,Journal Article,2016/08/01
27399646,0003-4819,Journal Article,2016/10/18
27399828,1537-890X,Journal Article,2016/07/01
27399927,0100-7203,Journal Article,2016/06/01
27400066,1530-3667,Journal Article,2016/08/01
27400363,0090-0036,Journal Article,2016/08/01
27401144,0040-8166,Journal Article,2016/10/01
27401601,1746-0441,Journal Article,2016/10/01
27402518,0002-9637,Journal Article,2016/10/05
27403008,0008-4123,Journal Article,2016/05/01
27403405,2164-7844,Journal Article,2016/06/01
27404665,1477-8939,Letter,2016/01/01
27405738,2048-7193,Journal Article,2016/09/01
27411846,2165-0799,Journal Article,2016/08/01
27412023,0210-0010,Letter,2016/08/01
27412024,0210-0010,Letter,2016/08/01
27412681,0302-8933,Journal Article,2016/09/01
27412976,2261-3684,Journal Article,2016/05/01
27413190,0095-1137,Journal Article,2016/09/01
27414192,1945-0265,Journal Article,2016/08/01
27414496,1931-3128,Comment,2016/07/13
27416771,1756-3305,Journal Article,2016/07/14
27417493,0036-8075,Journal Article,2016/07/22
27417494,0036-8075,Journal Article,2016/08/19
27417495,0036-8075,Journal Article,2016/08/12
27417950,0212-6567,Journal Article,2016/08/01
27418575,1058-4838,Journal Article,2016/11/01
27418843,1178-6973,Journal Article,2016/06/28
27419175,2328-8957,Journal Article,2016/05/19
27419889,0014-6722,Editorial,2016/01/01
27421544,0028-3878,Journal Article,2016/10/11
27421717,0257-277X,Journal Article,2017/02/01
27423039,0956-5663,Journal Article,2016/12/15
27423687,1742-4755,Journal Article,2016/07/16
27425793,1477-8939,Journal Article,2016/07/01
27426716,1727-5482,Journal Article,2016/01/01
27427201,1473-3099,Letter,2016/09/01
27427208,1931-3128,Journal Article,2016/08/10
27430951,1674-800X,Journal Article,2016/08/01
27431802,1935-7893,Journal Article,2017/04/01
27433842,0028-4793,Journal Article,2016/08/04
27434194,1080-6040,Letter,2016/10/01
27434361,0167-5273,Letter,2016/10/15
27435464,2150-7511,Journal Article,2016/07/19
27435517,0025-7753,Editorial,2016/08/05
27435990,0959-8138,News,2016/07/19
27436433,0022-1899,Journal Article,2016/11/01
27436751,1941-7381,Journal Article,2016/09/01
27438084,1674-0769,Biography,2016/08/01
27438351,0882-8245,Journal Article,2016/09/01
27438661,0360-4039,Journal Article,2016/08/01
27439067,0962-1083,Journal Article,2016/09/01
27439088,0093-7355,Journal Article,2016/07/20
27441334,,Practice Guideline,2016/01/01
27441778,1600-6135,Editorial,2016/08/01
27442184,0149-2195,Journal Article,2016/07/22
27442327,0149-2195,Journal Article,2016/07/22
27443350,1664-302X,Comment,2016/06/28
27443522,1931-3128,Journal Article,2016/08/10
27444120,0166-0934,Evaluation Studies,2016/10/01
27444419,1808-8694,Journal Article,2016/06/30
27447300,1025-496X,Journal Article,2016/07/14
27447397,1025-496X,Editorial,2016/07/14
27448188,1080-6040,Journal Article,2016/10/01
27449601,0168-1702,Journal Article,2016/09/02
27452806,1025-496X,Journal Article,2016/07/14
27453325,2352-3964,Journal Article,2016/08/01
27454076,0003-4819,Journal Article,2016/10/18
27454521,0003-4819,Journal Article,2016/08/16
27454712,0029-7844,Journal Article,2016/08/01
27454745,1080-6040,Letter,2016/10/01
27455458,1545-9993,Journal Article,2016/09/01
27458114,0959-8138,News,2016/07/22
27459519,1935-2727,Journal Article,2016/07/26
27459560,0036-8733,Journal Article,2016/08/01
27459752,0010-7174,Journal Article,2016/08/01
27460685,1473-3099,Letter,2016/09/01
27460686,1473-3099,Letter,2016/09/01
27461305,0029-6570,Journal Article,2016/07/27
27462846,0102-311X,Journal Article,2016/07/21
27462882,1679-4508,Editorial,2016/04/01
27463941,0028-4793,Letter,2016/09/08
27464346,0364-5134,Historical Article,2016/10/01
27464857,0379-5284,Editorial,2016/08/01
27464886,1756-3305,Journal Article,2016/07/27
27466104,0028-0836,News,2016/07/28
27466468,0028-3878,Journal Article,2016/10/11
27466758,0149-2195,Journal Article,2016/07/25
27467271,1544-9173,Journal Article,2016/07/28
27467820,0149-2195,Journal Article,2016/07/25
27469112,0015-5632,Journal Article,2016/11/01
27469223,1474-1776,Journal Article,2016/07/29
27470244,1058-4838,Letter,2016/11/01
27471296,0036-8075,Letter,2016/07/29
27471954,0042-6822,Journal Article,2016/10/01
27472289,0951-7375,Journal Article,2016/10/01
27473528,0959-8138,Journal Article,2016/07/29
27473856,1743-422X,Journal Article,2016/07/29
27473981,0034-5288,Journal Article,2016/08/01
27474145,0161-6420,Journal Article,2016/11/01
27474488,0213-9111,Journal Article,2016/01/01
27475021,0733-8627,Journal Article,2016/08/01
27475895,0092-8674,Journal Article,2016/08/11
27475896,2352-3964,Letter,2016/08/01
27476019,0755-4982,Letter,2016/10/01
27476412,1931-3128,Journal Article,2016/08/10
27476595,0960-9822,Journal Article,2016/08/22
27477155,0140-6736,Letter,2016/07/23
27477156,0140-6736,Comment,2016/07/23
27477157,0140-6736,Comment,2016/07/23
27477452,0001-706X,Evaluation Studies,2016/11/01
27477981,1473-3099,Letter,2016/08/01
27478378,1176-6328,Journal Article,2016/07/14
27478853,2314-7334,Journal Article,2016/06/01
27479173,1386-6532,Journal Article,2016/09/01
27479770,0029-7844,Journal Article,2016/10/01
27480043,0140-6736,Comment,2016/08/13
27480044,0140-6736,Comment,2016/08/13
27480321,0959-8138,News,2016/08/01
27481466,2211-1247,Journal Article,2016/08/09
27481629,0197-3851,Journal Article,2016/09/01
27482461,2055-6640,Journal Article,2016/07/01
27482554,1935-7893,Journal Article,2016/04/01
27482562,0028-4793,Comment,2016/07/21
27485738,0019-2805,Journal Article,2016/12/01
27485955,0960-7692,Letter,2017/05/01
27487767,1741-7015,Journal Article,2016/08/03
27487998,0971-5916,Journal Article,2016/05/01
27488825,0959-8138,Journal Article,2016/08/03
27489331,0002-9637,Journal Article,2016/08/03
27490087,0149-2195,Journal Article,2016/08/05
27490117,0149-2195,Journal Article,2016/08/05
27490307,2168-6165,Journal Article,2016/10/01
27490354,0932-0555,Journal Article,2016/08/01
27490430,1078-8956,Journal Article,2016/08/04
27490445,2168-6165,Journal Article,2016/10/01
27490661,0038-4348,Journal Article,2016/08/01
27491031,1011-1344,Journal Article,2016/09/01
27491635,0197-3851,Journal Article,2016/09/01
27491989,2169-8287,Journal Article,2016/08/04
27492074,0195-6108,Editorial,2016/08/04
27492132,0732-8893,Journal Article,2016/10/01
27492477,0036-8075,Journal Article,2016/09/09
27493161,0036-8075,News,2016/08/05
27493252,0022-2585,Journal Article,2016/11/01
27494130,1025-496X,Journal Article,2016/07/28
27495006,1201-9712,Journal Article,2016/10/01
27495823,1356-5524,Comment,2016/10/01
27496713,0951-7375,Journal Article,2016/10/01
27496830,1079-2082,Journal Article,2016/08/15
27497951,1201-9712,Journal Article,2016/10/01
27500641,1553-7366,Journal Article,2016/08/08
27501302,1932-6203,Journal Article,2016/08/08
27503033,0366-6999,Letter,2016/08/20
27504617,0147-6513,Journal Article,2016/11/01
27504949,0017-0011,Journal Article,2016/01/01
27505002,1935-2727,Journal Article,2016/08/09
27507741,0140-6736,Editorial,2016/07/30
27507747,0140-6736,News,2016/07/30
27508060,2046-1402,Journal Article,2016/06/16
27508088,2094-7321,Journal Article,2016/04/22
27508289,0379-5284,News,2016/04/01
27508290,0379-5284,News,2016/04/01
27509020,1935-2727,Clinical Trial,2016/08/10
27509655,0324-0959,Journal Article,2016/01/01
27509902,0959-8138,Journal Article,2016/08/09
27510169,0300-8126,Journal Article,2016/12/01
27510879,0578-1310,Journal Article,2016/08/01
27512066,0022-538X,Journal Article,2016/10/14
27512493,1753-495X,Journal Article,2016/06/01
27513625,0149-2195,Journal Article,2016/08/12
27515384,0959-8138,News,2016/08/11
27516635,0042-9686,Journal Article,2016/08/01
27517108,0172-4614,Letter,2016/04/01
27518688,0028-4793,Published Erratum,2016/08/04
27521359,0022-1899,Journal Article,2016/11/01
27522921,0022-3549,Journal Article,2016/10/01
27524440,1934-5909,Journal Article,2016/11/03
27525286,2314-7334,Journal Article,2016/06/01
27526251,1049-2275,Journal Article,2016/09/01
27526490,0026-6396,Editorial,2016/06/01
27526492,0026-6396,Journal Article,2016/06/01
27529422,1549-1277,Journal Article,2016/08/16
27532234,0167-5273,Letter,2016/11/15
27532277,0098-7484,Journal Article,2016/10/11
27532496,1932-6203,Journal Article,2016/08/17
27532497,1932-6203,Evaluation Studies,2016/08/17
27532622,0028-4793,Letter,2016/09/15
27532747,1415-790X,Editorial,2016/04/01
27532808,0040-4470,Journal Article,2016/08/01
27533717,1080-6040,Letter,2016/09/01
27535047,0022-538X,Journal Article,2016/10/14
27535512,0028-0836,News,2016/08/18
27538044,0028-8446,Journal Article,2016/08/19
27538321,0035-2640,Journal Article,2016/06/01
27538400,1434-1816,Letter,2016/12/01
27539802,2214-109X,Letter,2016/09/01
27540058,2169-8287,Journal Article,2016/08/18
27540152,0036-8075,Comment,2016/08/19
27540468,2046-1402,Journal Article,2016/06/03
27540984,1529-2908,Journal Article,2016/08/19
27541001,1935-2727,Journal Article,2016/08/19
27541191,2451-9456,Journal Article,2016/08/18
27541989,1025-496X,Journal Article,2016/08/11
27542120,1025-496X,Journal Article,2016/08/11
27542178,1025-496X,Journal Article,2016/08/11
27544075,2168-6203,Journal Article,2016/10/01
27544795,0196-6553,Journal Article,2016/12/01
27545046,1931-3128,Journal Article,2016/09/14
27545505,1934-5909,Journal Article,2016/11/03
27546187,1025-496X,Journal Article,2016/07/14
27546975,0377-1237,Journal Article,2016/07/01
27546976,0377-1237,Journal Article,2016/07/01
27547117,1394-195X,Journal Article,2016/03/01
27547128,1523-3820,Journal Article,2016/01/01
27548647,0029-7844,Journal Article,2016/11/01
27548930,0580-7247,Journal Article,2016/07/01
27549304,0378-1097,Journal Article,2016/09/01
27551005,0009-9147,Journal Article,2016/09/01
27551728,1121-7138,Journal Article,2016/10/01
27552392,1522-0443,Journal Article,2016/09/01
27552432,0033-8419,Journal Article,2016/10/01
27553173,2222-1751,Journal Article,2016/08/24
27553292,0959-8138,News,2016/08/23
27553402,1020-3397,Journal Article,2016/08/18
27554037,2045-2322,Journal Article,2016/08/24
27555094,0002-9343,Journal Article,2016/11/01
27555311,2150-7511,Journal Article,2016/08/23
27555815,1662-5161,Journal Article,2016/08/09
27555980,2157-6998,Journal Article,2016/07/01
27556383,0004-282X,Journal Article,2016/08/01
27556748,0098-7484,News,2016/09/27
27556838,1530-3667,Journal Article,2016/10/01
27557413,0003-9985,Journal Article,2017/01/01
27557815,0920-8569,Historical Article,2016/12/01
27558313,1090-3798,Letter,2016/11/01
27559830,0149-2195,Journal Article,2016/08/26
27560129,1935-2727,Journal Article,2016/08/25
27562089,0959-8138,News,2016/08/25
27562260,2058-5276,Journal Article,2016/07/25
27562269,2058-5276,Journal Article,2016/08/26
27564232,1935-2727,Journal Article,2016/08/26
27565347,0092-8674,Journal Article,2016/08/25
27566874,0196-6553,Journal Article,2016/12/01
27567120,1058-4838,Letter,2016/11/01
27567913,0301-1623,Journal Article,2016/12/01
27568284,2211-1247,Journal Article,2016/09/06
