pmcid,issn,pubtype,pubdate,summary
4946541,0370-8179,Biography,1971-03-01,"Vraćević M.[Zika b. Marković, M.D. (19 September 1889--3 September 1970)]. Srp Arh Celok Lek. 1971 Mar; 99(3):209-11. "
27055196,0891-1150,Editorial,2016-04-01,Mandell BF.Zika--a new continent and new complications? Cleve Clin J Med. 2016 Apr; 83(4):247-8. 
27055374,0755-4982,Editorial,2016-03-01,Bricaire F.[Zika virus: a new epidemic?]. Presse Med. 2016 Mar; 45(3):281-3. 
27055385,1025-496X,Editorial,2016-01-01,Drosten C.Zika virus and congenital malformations in perspective. Euro Surveill. 2016; 21(13) 
27056096,1473-3099,Letter,2016-05-01,"Baud D, Van Mieghem T, Musso D, Truttmann AC, Panchaud A, Vouga M.Clinical management of pregnant women exposed to Zika virus. Lancet Infect Dis. 2016 May; 16(5):523. "
27058728,1935-2727,Editorial,2016-04-08,"Hotez PJ.Neglected Tropical Diseases in the Anthropocene: The Cases of Zika, Ebola, and Other Infections. PLoS Negl Trop Dis. 2016 Apr; 10(4):e0004648. "
27060380,1568-9972,Letter,2016-08-01,"Lucchese G, Kanduc D.Reply concerning the article Zika virus and autoimmunity: From microcephaly to Guillain-Barré syndrome, and beyond'. Autoimmun Rev. 2016 Aug; 15(8):854. "
27060381,1568-9972,Letter,2016-08-01,"Wiwanitkit V.Zika virus, autoimmunity and microcephaly: Other things for consideration. Autoimmun Rev. 2016 Aug; 15(8):855. "
27060396,0266-6138,Editorial,2016-04-01,Diniz SG.Zika virus and pregnancy: A perspective from Brazil. Midwifery. 2016 Apr; 35:22-3. 
27060613,1477-8939,Letter,2016-05-01,"Nishiura H, Mizumoto K, Villamil-Gómez WE, Rodríguez-Morales AJ.Preliminary estimation of the basic reproduction number of Zika virus infection during Colombia epidemic, 2015-2016. Travel Med Infect Dis. 2016 May-Jun; 14(3):274-6. "
27063354,1198-743X,Letter,2016-07-01,"Bocanegra C, Sulleiro E, Soriano-Arandes A, Pou D, Suy A, Llurba E, Rodó C, Espasa M, Campins M, Martín A, Rodrigo C, Vázquez A, De Ory F, Sánchez-Seco MP, Pumarola T, Carreras E, Molina I.Zika virus infection in pregnant women in Barcelona, Spain. Clin Microbiol Infect. 2016 Jul; 22(7):648-50. "
27063652,1477-8939,Letter,2016-05-01,"Betancourt-Trejos ML, Narváez-Maldonado CF, Ortíz-Erazo WF, Arias-Guzmán JS, Gil-Restrepo AF, Sánchez-Rueda MA, Muñoz-Calle NJ, Maya-Betancourth JG, Rodríguez-Morales AJ.Healthcare students and workers' knowledge about Zika and its association with microcephaly in two cities of Colombia. Travel Med Infect Dis. 2016 May-Jun; 14(3):283-5. "
27063653,1477-8939,Letter,2016-05-01,"Rodriguez-Morales AJ, García-Loaiza CJ, Galindo-Marquez ML, Sabogal-Roman JA, Marin-Loaiza S, Lozada-Riascos CO, Diaz-Quijano FA.Zika infection GIS-based mapping suggest high transmission activity in the border area of La Guajira, Colombia, a northeastern coast Caribbean department, 2015-2016: Implications for public health, migration and travel. Travel Med Infect Dis. 2016 May-Jun; 14(3):286-8. "
27067096,1198-743X,Editorial,2016-06-01,"Musso D, Baud D, Gubler DJ.Zika virus: what do we know? Clin Microbiol Infect. 2016 Jun; 22(6):494-6. "
27067205,0028-3940,Letter,2016-08-01,"Fontes CA, Dos Santos AA, Marchiori E.Magnetic resonance imaging findings in Guillain-Barré syndrome caused by Zika virus infection. Neuroradiology. 2016 Aug; 58(8):837-8. "
27068488,1473-3099,Letter,2016-05-01,"Sarmiento-Ospina A, Vásquez-Serna H, Jimenez-Canizales CE, Villamil-Gómez WE, Rodriguez-Morales AJ.Zika virus associated deaths in Colombia. Lancet Infect Dis. 2016 May; 16(5):523-524. "
27070735,1080-6040,Letter,2016-06-01,"Li J, Xiong Y, Wu W, Liu X, Qu J, Zhao X, Zhang S, Li J, Li W, Liao Y, Gong T, Wang L, Shi Y, Xiong Y, Ni D, Li Q, Liang M, Hu G, Li D.Zika Virus in a Traveler Returning to China from Caracas, Venezuela, February 2016. Emerg Infect Dis. 2016 Jun; 22(6):1133-6. "
27070847,1080-6040,Letter,2016-07-01,"Cerbino-Neto J, Mesquita EC, Souza TM, Parreira V, Wittlin BB, Durovni B, Lemos MC, Vizzoni A, Bispo de Filippis AM, Sampaio SA, Gonçalves Bde S, Bozza FA.Clinical Manifestations of Zika Virus Infection, Rio de Janeiro, Brazil, 2015. Emerg Infect Dis. 2016 Jul; 22(7):1318-20. "
27072040,1476-7058,Letter,2017-03-01,"Nourollahpour Shiadeh M, Rostami A, Danesh M, Sajedi AA.Zika virus as new emerging global health threat for pregnancy and child birth. J Matern Fetal Neonatal Med. 2017 Mar; 30(5):562. "
27073228,0959-8138,News,2016-04-12,McCarthy M.US health officials press Congress for $1.9bn to combat Zika. BMJ. 2016 Apr 12; 352:i2106. 
27074370,0028-4793,Letter,2016-06-02,"D'Ortenzio E, Matheron S, Yazdanpanah Y, de Lamballerie X, Hubert B, Piorkowski G, Maquart M, Descamps D, Damond F, Leparc-Goffart I.Evidence of Sexual Transmission of Zika Virus. N Engl J Med. 2016 Jun 2; 374(22):2195-8. "
27076507,0035-9203,Editorial,2016-04-01,"Higgs S, Vanlandingham DL.Search and one will find: Zika virus everywhere. Trans R Soc Trop Med Hyg. 2016 Apr; 110(4):207-8. "
27078543,0028-0836,News,2016-04-07,Check Hayden E.Zika highlights role of controversial fetal-tissue research. Nature. 2016 Apr 7; 532(7597):16. 
27078587,0025-729X,Editorial,2016-04-18,"Baggoley C, Knope K, Colwell A, Firman J.Zika preparedness in Australia. Med J Aust. 2016 Apr 18; 204(7):249-50. "
27083694,0959-8138,News,2016-04-15,Dyer O.US agency says Zika virus causes microcephaly. BMJ. 2016 Apr 15; 353:i2167. 
27083981,0959-8138,Comment,2016-04-15,"Baptista T, Quaghebeur G, Alarcon A.Neuroimaging findings of babies with microcephaly and presumed congenital Zika virus infection. BMJ. 2016 Apr 15; 353:i2194. "
27088194,1426-9686,Editorial,2016-03-01,Płusa T.[Zika virus as a new threat to the health and life]. Pol Merkur Lekarski. 2016 Mar; 40(237):149-52. 
27088243,1080-6040,Letter,2016-05-01,Cao-Lormeau VM.Tropical Islands as New Hubs for Emerging Arboviruses. Emerg Infect Dis. 2016 May; 22(5):913-5. 
27088323,1080-6040,Letter,2016-05-01,"Lanciotti RS, Lambert AJ, Holodniy M, Saavedra S, Signor Ldel C.Phylogeny of Zika Virus in Western Hemisphere, 2015. Emerg Infect Dis. 2016 May; 22(5):933-5. "
27088574,1080-6040,Letter,2016-05-01,"Díaz-Quiñonez JA, Escobar-Escamilla N, Wong-Arámbula C, Vázquez-Pichardo M, Torres-Longoria B, López-Martínez I, Ruiz-Matus C, Kuri-Morales P, Ramírez-González JE.Asian Genotype Zika Virus Detected in Traveler Returning to Mexico from Colombia, October 2015. Emerg Infect Dis. 2016 May; 22(5):937-9. "
27088817,1080-6040,Letter,2016-05-01,"Atkinson B, Hearn P, Afrough B, Lumley S, Carter D, Aarons EJ, Simpson AJ, Brooks TJ, Hewson R.Detection of Zika Virus in Semen. Emerg Infect Dis. 2016 May; 22(5):940. "
27088970,1080-6040,Letter,2016-05-01,"Perkasa A, Yudhaputri F, Haryanto S, Hayati RF, Ma'roef CN, Antonjaya U, Yohan B, Myint KS, Ledermann JP, Rosenberg R, Powers AM, Sasmono RT.Isolation of Zika Virus from Febrile Patient, Indonesia. Emerg Infect Dis. 2016 May; 22(5):924-5. "
27089120,1080-6040,Letter,2016-05-01,"Arzuza-Ortega L, Polo A, Pérez-Tatis G, López-García H, Parra E, Pardo-Herrera LC, Rico-Turca AM, Villamil-Gómez W, Rodríguez-Morales AJ.Fatal Sickle Cell Disease and Zika Virus Infection in Girl from Colombia. Emerg Infect Dis. 2016 May; 22(5):925-7. "
27089202,1946-6234,Editorial,2016-03-16,"Nabel GJ, Zerhouni EA.Once and future epidemics: Zika virus emerging. Sci Transl Med. 2016 Mar 16; 8(330):330ed2. "
27089253,1080-6040,Letter,2016-05-01,"Camacho E, Paternina-Gomez M, Blanco PJ, Osorio JE, Aliota MT.Detection of Autochthonous Zika Virus Transmission in Sincelejo, Colombia. Emerg Infect Dis. 2016 May; 22(5):927-9. "
27089758,0040-781X,News,2016-02-08,Walsh B.Why the Zika outbreak marks a new normal for infectious disease. Time. 2016 Feb 8; 187(4):9-10. 
27103128,0140-6736,Letter,2016-04-30,"Nielsen KK, Bygbjerg IC.Zika virus and hyperglycaemia in pregnancy. Lancet. 2016 Apr 30; 387(10030):1812. "
27092361,1478-2715,Editorial,2016-03-01,"Brett-Major DM, Roth CE.Zika virus, emergencies, uncertainty and vulnerable populations. J R Coll Physicians Edinb. 2016 Mar; 46(1):3-6. "
27094497,0266-4356,Letter,2016-12-01,Wiwanitkit V.Zika virus and maxillofacial surgery. Br J Oral Maxillofac Surg. 2016 Dec; 54(10):1145. 
27100826,1080-6040,Letter,2016-07-01,"Southwell BG, Dolina S, Jimenez-Magdaleno K, Squiers LB, Kelly BJ.Zika Virus-Related News Coverage and Online Behavior, United States, Guatemala, and Brazil. Emerg Infect Dis. 2016 Jul; 22(7):1320-1. "
27100970,0443-5117,Letter,2016-05-01,del Carpio-Orantes L.[Emerging Arboviroses in Mexico: chikunguña and zika]. Rev Med Inst Mex Seguro Soc. 2016 May-Jun; 54(3):278-9. 
27102926,1876-0341,Letter,2017-01-01,"Hussain HF, Hafiz MY, Hussain SA.Rumor has it; the truth behind Zika virus. J Infect Public Health. 2017 Jan - Feb; 10(1):135-136. "
27103126,0140-6736,Letter,2016-04-30,"Cordeiro MT, Pena LJ, Brito CA, Gil LH, Marques ET.Positive IgM for Zika virus in the cerebrospinal fluid of 30 neonates with microcephaly in Brazil. Lancet. 2016 Apr 30; 387(10030):1811-2. "
27105638,1674-0769,Letter,2016-04-01,"Deng C, Liu S, Zhang Q, Xu M, Zhang H, Gu D, Shi L, He J, Xiao G, Zhang B.Isolation and characterization of Zika virus imported to China using C6/36 mosquito cells. Virol Sin. 2016 Apr; 31(2):176-9. "
27105655,0163-4453,Letter,2016-07-01,"Han JF, Jiang T, Ye Q, Li XF, Liu ZY, Qin CF.Homologous recombination of Zika viruses in the Americas. J Infect. 2016 Jul; 73(1):87-8. "
27111356,1526-5161,Editorial,2016-05-01,"Harris LH, Silverman NS, Marshall MF.The Paradigm of the Paradox: Women, Pregnant Women, and the Unequal Burdens of the Zika Virus Pandemic. Am J Bioeth. 2016 May; 16(5):1-4. "
27111968,1462-2815,News,2016-03-01,"Zika virus could infect up to four million, WHO predicts. Community Pract. 2016 Mar; 89(3):6. "
27119524,0098-7484,Interview,2016-05-17,Voelker R.Miami Obstetrician Uses Evidence to Quell Zika Fears. JAMA. 2016 May 17; 315(19):2051-2. 
27119589,1052-9276,Editorial,2016-07-01,Mortimer PP.Maternal Zika infection: like rubella but worse. Rev Med Virol. 2016 Jul; 26(4):219-20. 
27119856,1438-3276,News,2016-03-03,Eo.[Suspected Zika virus infection: who should be tested?]. MMW Fortschr Med. 2016 Mar 3; 158(4):8. 
27138556,0256-7040,Letter,2016-08-01,Wiwanitkit V.Neonatal neuroradiological aspects in Zika virus infection. Childs Nerv Syst. 2016 Aug; 32(8):1349. 
27139219,1080-6040,Letter,2016-08-01,"Araúz D, De Urriola L, Jones J, Castillo M, Martínez A, Murillo E, Troncoso L, Chen M, Abrego L, Armién B, Pascale JM, Sosa N, López-Verges S, Moreno B.Febrile or Exanthematous Illness Associated with Zika, Dengue, and Chikungunya Viruses, Panama. Emerg Infect Dis. 2016 Aug; 22(8):1515-7. "
27139439,0002-9637,Editorial,2016-06-01,"Brault AC, Bowen RA.The Development of Small Animal Models for Zika Virus Vaccine Efficacy Testing and Pathological Assessment. Am J Trop Med Hyg. 2016 Jun 1; 94(6):1187-8. "
27142055,0959-8138,Letter,2016-05-03,de Fatima Vasco Aragao M.Zika virus study in The BMJ was different from the one reported in the New England Journal of Medicine. BMJ. 2016 May 3; 353:i2444. 
27143305,0102-311X,Editorial,2016-01-01,Carvalho MS.The Zika epidemic in Cadernos de Saúde Pública / Reports in Public Health. Cad Saude Publica. 2016; 32(4):e00010416. 
27149628,1935-2727,Comment,2016-05-05,"Aman MJ, Kashanchi F.Zika Virus: A New Animal Model for an Arbovirus. PLoS Negl Trop Dis. 2016 May; 10(5):e0004702. "
27151254,1470-0328,Editorial,2016-07-01,Witkin SS.The Zika virus epidemic: professionals and the public search for answers. BJOG. 2016 Jul; 123(8):1255. 
27152436,1934-5909,Comment,2016-05-05,"Miner JJ, Diamond MS.Understanding How Zika Virus Enters and Infects Neural Target Cells. Cell Stem Cell. 2016 May 5; 18(5):559-60. "
27156435,0140-6736,Letter,2016-05-14,"Musso D, Stramer SL, Busch MP.Zika virus: a new challenge for blood transfusion. Lancet. 2016 May 14; 387(10032):1993-4. "
27156436,0140-6736,Letter,2016-05-14,"Machado-Alba JE, Machado-Duque ME, Gaviria-Mendoza A, Orozco-Giraldo VA.Hormonal contraceptive prescriptions in Colombia and Zika virus. Lancet. 2016 May 14; 387(10032):1993. "
27160366,1090-3798,Editorial,2016-07-01,"Gioula G, Nunes ML, Zafeiriou DI.An emerging cause of concern in Europe: Zika virus, the developing CNS and the pediatric neurologist. Eur J Paediatr Neurol. 2016 Jul; 20(4):497-9. "
27170237,1444-0903,Editorial,2016-05-01,Ong CW.Zika virus: an emerging infectious threat. Intern Med J. 2016 May; 46(5):525-30. 
27172988,1674-800X,Letter,2016-06-01,"Tian H, Ji X, Yang X, Xie W, Yang K, Chen C, Wu C, Chi H, Mu Z, Wang Z, Yang H.The crystal structure of Zika virus helicase: basis for antiviral drug design. Protein Cell. 2016 Jun; 7(6):450-4. "
27174386,0929-6646,Comment,2016-08-01,Wong SS.Reply to comments on Zika virus transmission: What to concern on its transmission apart from mosquito control' by Viroj Wiwanitkit. J Formos Med Assoc. 2016 Aug; 115(8):685-6. 
27174964,0036-8075,News,2016-05-13,Cohen J.INFECTIOUS DISEASE. Animals show how Zika harms fetuses. Science. 2016 May 13; 352(6287):752-3. 
27175927,0040-4470,Interview,2016-05-01,Berlin J.Don&amp;#39;t Curb Your Enthusiasm. Tex Med. 2016 May 1; 112(5):57-62. 
27177409,1723-2007,Letter,2017-05-01,"Musso D, Aubry M, Broult J, Stassinopoulos A, Green J.Zika virus: new emergencies, potential for severe complications, and prevention of transfusion-transmitted Zika fever in the context of co-circulation of arboviruses. Blood Transfus. 2017 May; 15(3):272-273. "
27177718,1473-3099,Editorial,2016-06-01,The Lancet Infectious Diseases.Zika virus at the games: is it safe? Lancet Infect Dis. 2016 Jun; 16(6):619. 
27179414,0953-6205,Letter,2016-09-01,"Liuzzi G, Nicastri E, Puro V, Zumla A, Ippolito G.Zika virus in saliva-New challenges for prevention of human to human transmission. Eur J Intern Med. 2016 Sep; 33:e20-1. "
27184420,1473-3099,Letter,2016-06-01,"Zhang FC, Li XF, Deng YQ, Tong YG, Qin CF.Excretion of infectious Zika virus in urine. Lancet Infect Dis. 2016 Jun; 16(6):641-642. "
27184421,1473-3099,Letter,2016-06-01,Blonz ER.Zika virus and GLUT1. Lancet Infect Dis. 2016 Jun; 16(6):642. 
27192031,0102-311X,Editorial,2016-05-01,Carvalho MS.Zika in Cadernos de Saúde Pública / Reports in Public Health: again? Cad Saude Publica. 2016 May; 32(5):eED010516. 
27193639,0028-0836,Editorial,2016-05-19,Zika must remain a high priority. Nature. 2016 May 19; 533(7603):291. 
27197772,1053-2498,Editorial,2016-05-01,"Silveira FP, Campos SV.The Zika epidemics and transplantation. J Heart Lung Transplant. 2016 May; 35(5):560-3. "
27198836,2214-109X,Letter,2016-06-01,"Boëte C, Reeves RG.Alternative vector control methods to manage the Zika virus outbreak: more haste, less speed. Lancet Glob Health. 2016 Jun; 4(6):e363. "
27198837,2214-109X,Letter,2016-06-01,"Bouyer J, Chandre F, Gilles J, Baldet T.Alternative vector control methods to manage the Zika virus outbreak: more haste, less speed. Lancet Glob Health. 2016 Jun; 4(6):e364. "
27198838,2214-109X,Letter,2016-06-01,"Yakob L, Walker T.Alternative vector control methods to manage the Zika virus outbreak: more haste, less speed - Authors' reply. Lancet Glob Health. 2016 Jun; 4(6):e365-6. "
27203101,0092-8674,Editorial,2016-05-19,"Kvajo M, Monteiro J.Publishing Science in the Time of Zika. Cell. 2016 May 19; 165(5):1029. "
27203490,0140-6736,News,2016-04-30,Jaffe S.US responds to increase in Zika cases. Lancet. 2016 Apr 30; 387(10030):1801-2. 
27203498,0140-6736,Comment,2016-04-30,"Musso D, de Pina JJ, Nhan TX, Deparis X.Uncommon presentation of Zika fever or co-infection? Lancet. 2016 Apr 30; 387(10030):1812-3. "
27203499,0140-6736,Comment,2016-04-30,"Grobusch MP, Karimi O, Schinkel J, Codrington J, Vreden SG, Vermaat JS, Stijnis C, Goorhuis A.Uncommon presentation of Zika fever or co-infection? - Authors' reply. Lancet. 2016 Apr 30; 387(10030):1813-4. "
27207189,1046-7408,Comment,2016-08-01,"Wiwanitkit V.Placenta, Zika Virus Infection and Fetal Brain Abnormality. Am J Reprod Immunol. 2016 Aug; 76(2):97-8. "
27207768,0959-8138,News,2016-05-20,Gulland A.WHO warns of risk of Zika virus in Europe. BMJ. 2016 May 20; 353:i2887. 
27207862,0959-8138,News,2016-05-20,Coombes R.Call to cancel 2016 Olympics because of Zika risk is not backed by WHO guidance. BMJ. 2016 May 20; 353:i2899. 
27208632,1201-9712,Letter,2016-07-01,"Rodriguez-Morales AJ, Patiño-Cadavid LJ, Lozada-Riascos CO, Villamil-Gómez WE.Mapping Zika in municipalities of one coastal department of Colombia (Sucre) using geographic information systems during the 2015-2016 outbreak: implications for public health and travel advice. Int J Infect Dis. 2016 Jul; 48:70-2. "
27209301,1674-800X,Letter,2016-06-01,"Zhang Y, Chen W, Wong G, Bi Y, Yan J, Sun Y, Chen E, Yan H, Lou X, Mao H, Xia S, Gao GF, Shi W, Chen Z.Highly diversified Zika viruses imported to China, 2016. Protein Cell. 2016 Jun; 7(6):461-4. "
27214379,1935-2727,Published Erratum,2016-05-23,"Aliota MT, Caine EA, Walker EC, Larkin KE, Camacho E, Osorio JE.Correction: Characterization of Lethal Zika Virus Infection in AG129 Mice. PLoS Negl Trop Dis. 2016 May; 10(5):e0004750. "
27215946,1413-8670,Editorial,2016-05-01,"Campos GC, Sardi SI, Sarno M, Brites C.Zika virus infection, a new public health challenge. Braz J Infect Dis. 2016 May-Jun; 20(3):227-8. "
27216764,0959-8138,News,2016-05-23,McCarthy M.Obama calls on Congress to fully fund Zika response. BMJ. 2016 May 23; 353:i2921. 
27220167,1068-8838,News,2016-04-01,"O'Connor M.ZIKA PREP. 5 things you should know about Zika. Hosp Health Netw. 2016 Apr; 90(4):18, 2. "
27221166,0029-2001,Editorial,2016-05-24,Rostadmo M.Zika - more than just bad luck. Tidsskr Nor Laegeforen. 2016 May; 136(9):781. 
27221543,1726-4901,Letter,2016-07-01,Wiwanitkit V.Zika virus infection: Control and prevention. J Chin Med Assoc. 2016 Jul; 79(7):409. 
27223135,1806-8324,Letter,2016-05-20,Wiwanitkit V.Zika virus infection spread through saliva. Braz Oral Res. 2016 May 20; 30(1) 
27224278,1516-3180,Comment,2016-04-01,Lotufo PA.Zika epidemic and social inequalities: Brazil and its fate. Sao Paulo Med J. 2016 Apr; 134(2):95-6. 
27224471,1477-8939,Editorial,2016-05-01,"Rodriguez-Morales AJ, Villamil-Gómez WE, Franco-Paredes C.The arboviral burden of disease caused by co-circulation and co-infection of dengue, chikungunya and Zika in the Americas. Travel Med Infect Dis. 2016 May-Jun; 14(3):177-9. "
27225109,0028-0836,Letter,2016-05-26,"Kieny MP, Moorthy V, Bagozzi D.Public health: Use open data to curb Zika virus. Nature. 2016 May 26; 533(7604):469. "
27225243,1058-4838,Letter,2016-09-01,"Yung CF, Thoon KC.Guillain-Barré Syndrome and Zika Virus: Estimating Attributable Risk to Inform Intensive Care Capacity Preparedness. Clin Infect Dis. 2016 Sep 1; 63(5):708-9. "
27227971,1935-2727,Editorial,2016-05-26,Hotez PJ.Zika in the United States of America and a Fateful 1969 Decision. PLoS Negl Trop Dis. 2016 May; 10(5):e0004765. 
27232603,1935-2727,Published Erratum,2016-05-27,"Akiner MM, Demirci B, Babuadze G, Robert V, Schaffner F.Correction: Spread of the Invasive Mosquitoes Aedes aegypti and Aedes albopictus in the Black Sea Region Increases Risk of Chikungunya, Dengue, and Zika Outbreaks in Europe. PLoS Negl Trop Dis. 2016 May; 10(5):e0004764. "
27236614,0025-7753,Letter,2016-08-19,"Alvarado-Socarras JL, Sepúlveda-Arias JC, Zambrano LI, Rodriguez-Morales AJ.[Relevance of laboratory diagnosis of Zika during pregnancy and its possible association with Guillain-Barré syndrome]. Med Clin (Barc). 2016 Aug 19; 147(4):182-3. "
27241952,2047-7724,Editorial,2016-03-01,"Cassone A.Zika, more reasons for concern. Pathog Glob Health. 2016 Mar; 110(2):37-8. "
27242327,1286-4579,Editorial,2016-09-01,Hotez PJ.Will Zika return to the 'Old World'? Microbes Infect. 2016 Sep; 18(9):527-8. 
27249094,1096-2964,Comment,2016-08-01,Wiwanitkit V.Zika Virus Infection and Surgery: What Should We Be Concerned About? Surg Infect (Larchmt). 2016 Aug; 17(4):498. 
27254259,1025-496X,Letter,2016-05-26,"Van Esbroeck M, Meersman K, Michiels J, Ariën KK, Van den Bossche D.Letter to the editor: Specificity of Zika virus ELISA: interference with malaria. Euro Surveill. 2016 May 26; 21(21) "
27255107,0959-8138,News,2016-06-01,McCarthy M.WHO recommends eight week abstinence or safer sex after return from Zika areas. BMJ. 2016 Jun 1; 353:i3097. 
27255682,1354-523X,Letter,2017-01-01,Wiwanitkit V.Zika virus: oral health care and oral disease. Oral Dis. 2017 Jan; 23(1):134. 
27257232,0036-8075,News,2016-06-03,Vogel G.INFECTIOUS DISEASE. Mosquito hunters search for Zika vectors. Science. 2016 Jun 3; 352(6290):1152-3. 
27258065,1935-2727,Congresses,2016-06-03,"Franca RF, Neves MH, Ayres CF, Melo-Neto OP, Filho SP.First International Workshop on Zika Virus Held by Oswaldo Cruz Foundation FIOCRUZ in Northeast Brazil March 2016 - A Meeting Report. PLoS Negl Trop Dis. 2016 Jun; 10(6):e0004760. "
27261865,1995-7645,Letter,2016-05-01,"Wiwanitkit S, Wiwanitkit V.Afebrile, asymptomatic and non-thrombocytopenic Zika virus infection: Don't miss it! Asian Pac J Trop Med. 2016 May; 9(5):513. "
27262078,1995-7645,Letter,2016-06-01,"Wiwanitkit S, Wiwanitkit V.ZIka virus infection in Asia: Reappraisal on phylogenetic data of Asian lineage. Asian Pac J Trop Med. 2016 Jun; 9(6):614-5. "
27265325,0929-6646,Comment,2016-08-01,Wiwanitkit V.Zika virus transmission: What should we be concerned about apart from mosquito control. J Formos Med Assoc. 2016 Aug; 115(8):684. 
27267799,1477-8939,Letter,2016-07-01,"Venkatraman A, Mukhija D, Kumar N, Nagpal SJ.Zika virus misinformation on the internet. Travel Med Infect Dis. 2016 Jul-Aug; 14(4):421-2. "
27268016,1741-7015,Editorial,2016-06-06,Spong CY.Understanding Zika virus pathogenesis: an interview with Catherine Spong. BMC Med. 2016 Jun 6; 14:84. 
27270120,0820-3946,News,2016-07-12,Shuchman M.Canada's support lags for research on Zika. CMAJ. 2016 Jul 12; 188(10):E203-4. 
27272625,0803-5253,Editorial,2016-07-01,Vahlne A.How Zika virus made the transition from being a virtually unknown virus to a high-profile public health threat. Acta Paediatr. 2016 Jul; 105(7):728-9. 
27282681,2149-2263,Letter,2016-06-01,"Joob B, Wiwanitkit V.Cardiac problem because of Zika virus infection: a possibility. Anatol J Cardiol. 2016 Jun; 16(6):455-6. "
27284020,0959-8138,News,2016-06-09,"Kmietowicz Z.Olympic Games are likely to be free of Zika cases, say officials. BMJ. 2016 Jun 9; 353:i3233. "
27286010,1354-5752,News,2016-06-01,"Zika virus little or no threat to Britain, WHO says in report. Emerg Nurse. 2016 Jun; 24(3):7. "
27287830,0140-6736,Letter,2016-06-18,"Ventura CV, Maia M, Dias N, Ventura LO, Belfort R Jr.Zika: neurological and ocular findings in infant without microcephaly. Lancet. 2016 Jun 18; 387(10037):2502. "
27287833,0140-6736,Letter,2016-06-18,"Turmel JM, Abgueguen P, Hubert B, Vandamme YM, Maquart M, Le Guillou-Guillemette H, Leparc-Goffart I.Late sexual transmission of Zika virus related to persistence in the semen. Lancet. 2016 Jun 18; 387(10037):2501. "
27289006,0884-2175,Editorial,2016-07-01,Lowe NK.The Threat of the Zika Virus to Fetal Development. J Obstet Gynecol Neonatal Nurs. 2016 Jul-Aug; 45(4):463-4. 
27290831,0300-9041,Editorial,2016-02-01,Kably Ambe A.[Zika virus]. Ginecol Obstet Mex. 2016 Feb; 84(2):4 p preceding 65. 
27295904,0042-8450,Editorial,2016-03-01,Lazić S.Another emerging pathogen--Zika virus. Vojnosanit Pregl. 2016 Mar; 73(3):225-7. 
27299167,1025-496X,News,2016-01-01,Resources and latest news about Zika virus disease available from ECDC. Euro Surveill. 2016; 21(5):32. 
27299353,0342-4642,Published Erratum,2016-09-01,"Bozza FA, Grinsztejn B.Erratum to: Key points on Zika infection for the intensivist. Intensive Care Med. 2016 Sep; 42(9):1522. "
27301356,0959-8138,Letter,2016-06-14,Igreja RP.Olympics fans must take Zika precautions before travelling. BMJ. 2016 Jun 14; 353:i3255. 
27311776,1025-496X,Editorial,2016-06-09,"Zambon M.Zika virus, the new kid on the block. Euro Surveill. 2016 Jun 9; 21(23) "
27316385,2452-3186,Editorial,2016-04-01,Zika virus epidemics in Brazil: A broad view. Curr Res Transl Med. 2016 Apr-Jun; 64(2):53. 
27316500,0019-4832,Letter,2016-05-01,Wiwanitkit V.Heart rate and blood pressure in Zika virus infection: Findings? Indian Heart J. 2016 May-Jun; 68(3):380. 
27317419,0959-8138,News,2016-06-17,McCarthy M.Zika congenital syndrome is seen in infants whose mothers had asymptomatic infection. BMJ. 2016 Jun 17; 353:i3416. 
27321115,0163-4453,Letter,2016-09-01,"Su S, Qiu X, Zhou J.Spread of ZIKV and YFV to China: Potential implications. J Infect. 2016 Sep; 73(3):289-91. "
27321961,1201-9712,Editorial,2016-06-01,"Zumla A, Dar O, Kock R, Muturi M, Ntoumi F, Kaleebu P, Eusebio M, Mfinanga S, Bates M, Mwaba P, Ansumana R, Khan M, Alagaili AN, Cotten M, Azhar EI, Maeurer M, Ippolito G, Petersen E.Taking forward a 'One Health' approach for turning the tide against the Middle East respiratory syndrome coronavirus and other zoonotic pathogens with epidemic potential. Int J Infect Dis. 2016 Jun; 47:5-9. "
27323550,1025-9589,Editorial,2016-01-01,Abbasi AU.ZIKA VIRUS INFECTION; VERTICAL TRANSMISSION AND FOETAL CONGENITAL ANOMALIES. J Ayub Med Coll Abbottabad. 2016 Jan-Mar; 28(1):1-2. 
27323918,0140-6736,Letter,2016-07-02,"Massad E, Coutinho FA, Wilder-Smith A.Is Zika a substantial risk for visitors to the Rio de Janeiro Olympic Games? Lancet. 2016 Jul 2; 388(10039):25. "
27326435,1025-496X,News,2016-01-01,"European Commission Horizon 2020 programme call for vaccine development research into malaria and neglected infectious diseases, including Zika virus. Euro Surveill. 2016; 21(6):doi:10.2807/1560-7917.ES.2016.2. "
27328974,0959-8138,News,2016-06-21,"McCarthy M.Thousands of pregnant women in Puerto Rico are at risk of Zika virus infection, CDC warns. BMJ. 2016 Jun 21; 353:i3462. "
27331627,1080-6040,Letter,2016-08-01,"Meltzer E, Lustig Y, Leshem E, Levy R, Gottesman G, Weissmann R, Rabi DH, Hindiyeh M, Koren R, Mendelson E, Schwartz E.Zika Virus Disease in Traveler Returning from Vietnam to Israel. Emerg Infect Dis. 2016 Aug; 22(8):1521-2. "
